partNo,plateType,material,thickness,width,length,surfaceFinish,usage,pattern,grade,certification,description
5000197,Tread plate,Steel,2,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 2mm  250mm  1500mm
5000198,Checker plate,Aluminum,2.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  500mm
5000199,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 3.5mm  250mm  1000mm
5000200,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 1.5mm  250mm  750mm
5000201,Flat plate,Brass,5,300,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 5mm  300mm  750mm
5000202,Tread plate,Steel,4,200,750,Powder-coated,Decorative,Raised,Grade 6079,ASTM certified,Tread plate 4mm  200mm  750mm
5000203,Checker plate,Aluminum,2,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 2mm  250mm  750mm
5000204,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Industrial,-,Grade 207556,ISO 9001 certified,Perforated plate 2.5mm  150mm  750mm
5000205,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Industrial,Diamond,Grade 213313,RoHS compliant,Diamond plate 3.5mm  300mm  1000mm
5000206,Flat plate,Brass,1.5,100,750,Polished,Automotive,-,-,ASTM certified,Flat plate 1.5mm  100mm  750mm
5000207,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000208,Checker plate,Aluminum,4,200,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 4mm  200mm  500mm
5000209,Perforated plate,Stainless steel,2,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  150mm  1000mm
5000210,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000211,Flat plate,Brass,3.5,250,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 3.5mm  250mm  750mm
5000212,Tread plate,Steel,1.5,250,750,Powder-coated,Industrial,Raised,Grade 6080,ISO 9001 certified,Tread plate 1.5mm  250mm  750mm
5000213,Checker plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 5mm  250mm  750mm
5000214,Perforated plate,Stainless steel,4,250,750,Powder-coated,Automotive,-,Grade 219070,ASTM certified,Perforated plate 4mm  250mm  750mm
5000215,Diamond plate,Aluminum,2,250,1000,Powder-coated,Industrial,Diamond,Grade 224827,ISO 9001 certified,Diamond plate 2mm  250mm  1000mm
5000216,Flat plate,Brass,2.5,300,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 2.5mm  300mm  750mm
5000217,Tread plate,Steel,3.5,200,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 3.5mm  200mm  1500mm
5000218,Checker plate,Aluminum,1.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  500mm
5000219,Perforated plate,Stainless steel,5,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 5mm  150mm  1000mm
5000220,Diamond plate,Aluminum,4,300,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 4mm  300mm  750mm
5000221,Flat plate,Brass,2,100,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 2mm  100mm  750mm
5000222,Tread plate,Steel,2.5,250,750,Powder-coated,Automotive,Raised,Grade 6081,ASTM certified,Tread plate 2.5mm  250mm  750mm
5000223,Checker plate,Aluminum,3.5,200,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 3.5mm  200mm  750mm
5000224,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Decorative,-,Grade 230584,RoHS compliant,Perforated plate 1.5mm  150mm  750mm
5000225,Diamond plate,Aluminum,5,250,1000,Powder-coated,Construction,Diamond,Grade 236341,ISO 9001 certified,Diamond plate 5mm  250mm  1000mm
5000226,Flat plate,Brass,4,250,750,Polished,Decorative,-,-,ASTM certified,Flat plate 4mm  250mm  750mm
5000227,Tread plate,Steel,2,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 2mm  250mm  1500mm
5000228,Checker plate,Aluminum,2.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 2.5mm  250mm  500mm
5000229,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000230,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000231,Flat plate,Brass,5,300,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 5mm  300mm  750mm
5000232,Tread plate,Steel,4,200,750,Powder-coated,Decorative,Raised,Grade 6082,RoHS compliant,Tread plate 4mm  200mm  750mm
5000233,Checker plate,Aluminum,2,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 2mm  250mm  750mm
5000234,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 242098,ASTM certified,Perforated plate 2.5mm  150mm  750mm
5000235,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Automotive,Diamond,Grade 247855,RoHS compliant,Diamond plate 3.5mm  300mm  1000mm
5000236,Flat plate,Brass,1.5,100,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 1.5mm  100mm  750mm
5000237,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 5mm  250mm  1500mm
5000238,Checker plate,Aluminum,4,200,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 4mm  200mm  500mm
5000239,Perforated plate,Stainless steel,2,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  150mm  1000mm
5000240,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 2.5mm  250mm  750mm
5000241,Flat plate,Brass,3.5,250,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 3.5mm  250mm  750mm
5000242,Tread plate,Steel,1.5,250,750,Powder-coated,Decorative,Raised,Grade 6083,ASTM certified,Tread plate 1.5mm  250mm  750mm
5000243,Checker plate,Aluminum,5,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 5mm  250mm  750mm
5000244,Perforated plate,Stainless steel,4,250,750,Powder-coated,Industrial,-,Grade 253612,ISO 9001 certified,Perforated plate 4mm  250mm  750mm
5000245,Diamond plate,Aluminum,2,250,1000,Powder-coated,Industrial,Diamond,Grade 259369,RoHS compliant,Diamond plate 2mm  250mm  1000mm
5000246,Flat plate,Brass,2.5,300,750,Polished,Automotive,-,-,ASTM certified,Flat plate 2.5mm  300mm  750mm
5000247,Tread plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 3.5mm  200mm  1500mm
5000248,Checker plate,Aluminum,1.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 1.5mm  250mm  500mm
5000249,Perforated plate,Stainless steel,5,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 5mm  150mm  1000mm
5000250,Diamond plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 4mm  300mm  750mm
5000251,Flat plate,Brass,2,100,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 2mm  100mm  750mm
5000252,Tread plate,Steel,2.5,250,750,Powder-coated,Industrial,Raised,Grade 6084,ISO 9001 certified,Tread plate 2.5mm  250mm  750mm
5000253,Checker plate,Aluminum,3.5,200,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 3.5mm  200mm  750mm
5000254,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Automotive,-,Grade 265126,ASTM certified,Perforated plate 1.5mm  150mm  750mm
5000255,Diamond plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 270883,ISO 9001 certified,Diamond plate 5mm  250mm  1000mm
5000256,Flat plate,Brass,4,250,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 4mm  250mm  750mm
5000257,Tread plate,Steel,2,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 2mm  250mm  1500mm
5000258,Checker plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  500mm
5000259,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000260,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 1.5mm  250mm  750mm
5000261,Flat plate,Brass,5,300,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 5mm  300mm  750mm
5000262,Tread plate,Steel,4,200,750,Powder-coated,Automotive,Raised,Grade 6085,ASTM certified,Tread plate 4mm  200mm  750mm
5000263,Checker plate,Aluminum,2,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 2mm  250mm  750mm
5000264,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 276640,RoHS compliant,Perforated plate 2.5mm  150mm  750mm
5000265,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Construction,Diamond,Grade 282397,ISO 9001 certified,Diamond plate 3.5mm  300mm  1000mm
5000266,Flat plate,Brass,1.5,100,750,Polished,Decorative,-,-,ASTM certified,Flat plate 1.5mm  100mm  750mm
5000267,Tread plate,Steel,5,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 5mm  250mm  1500mm
5000268,Checker plate,Aluminum,4,200,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 4mm  200mm  500mm
5000269,Perforated plate,Stainless steel,2,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 2mm  150mm  1000mm
5000270,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000271,Flat plate,Brass,3.5,250,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 3.5mm  250mm  750mm
5000272,Tread plate,Steel,1.5,250,750,Powder-coated,Decorative,Raised,Grade 6086,RoHS compliant,Tread plate 1.5mm  250mm  750mm
5000273,Checker plate,Aluminum,5,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 5mm  250mm  750mm
5000274,Perforated plate,Stainless steel,4,250,750,Powder-coated,Decorative,-,Grade 288154,ASTM certified,Perforated plate 4mm  250mm  750mm
5000275,Diamond plate,Aluminum,2,250,1000,Powder-coated,Automotive,Diamond,Grade 293911,RoHS compliant,Diamond plate 2mm  250mm  1000mm
5000276,Flat plate,Brass,2.5,300,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 2.5mm  300mm  750mm
5000277,Tread plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 3.5mm  200mm  1500mm
5000278,Checker plate,Aluminum,1.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  500mm
5000279,Perforated plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 5mm  150mm  1000mm
5000280,Diamond plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 4mm  300mm  750mm
5000281,Flat plate,Brass,2,100,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 2mm  100mm  750mm
5000282,Tread plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6087,ASTM certified,Tread plate 2.5mm  250mm  750mm
5000283,Checker plate,Aluminum,3.5,200,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 3.5mm  200mm  750mm
5000284,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Industrial,-,Grade 299668,ISO 9001 certified,Perforated plate 1.5mm  150mm  750mm
5000285,Diamond plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 305425,RoHS compliant,Diamond plate 5mm  250mm  1000mm
5000286,Flat plate,Brass,4,250,750,Polished,Automotive,-,-,ASTM certified,Flat plate 4mm  250mm  750mm
5000287,Tread plate,Steel,2,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 2mm  250mm  1500mm
5000288,Checker plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 2.5mm  250mm  500mm
5000289,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 3.5mm  250mm  1000mm
5000290,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000291,Flat plate,Brass,5,300,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 5mm  300mm  750mm
5000292,Tread plate,Steel,4,200,750,Powder-coated,Industrial,Raised,Grade 6088,ISO 9001 certified,Tread plate 4mm  200mm  750mm
5000293,Checker plate,Aluminum,2,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 2mm  250mm  750mm
5000294,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Automotive,-,Grade 311182,ASTM certified,Perforated plate 2.5mm  150mm  750mm
5000295,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Industrial,Diamond,Grade 316939,ISO 9001 certified,Diamond plate 3.5mm  300mm  1000mm
5000296,Flat plate,Brass,1.5,100,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 1.5mm  100mm  750mm
5000297,Tread plate,Steel,5,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000298,Checker plate,Aluminum,4,200,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 4mm  200mm  500mm
5000299,Perforated plate,Stainless steel,2,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 2mm  150mm  1000mm
5000300,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 2.5mm  250mm  750mm
5000301,Flat plate,Brass,3.5,250,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 3.5mm  250mm  750mm
5000302,Tread plate,Steel,1.5,250,750,Powder-coated,Automotive,Raised,Grade 6089,ASTM certified,Tread plate 1.5mm  250mm  750mm
5000303,Checker plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 5mm  250mm  750mm
5000304,Perforated plate,Stainless steel,4,250,750,Powder-coated,Decorative,-,Grade 322696,RoHS compliant,Perforated plate 4mm  250mm  750mm
5000305,Diamond plate,Aluminum,2,250,1000,Powder-coated,Construction,Diamond,Grade 328453,ISO 9001 certified,Diamond plate 2mm  250mm  1000mm
5000306,Flat plate,Brass,2.5,300,750,Polished,Decorative,-,-,ASTM certified,Flat plate 2.5mm  300mm  750mm
5000307,Tread plate,Steel,3.5,200,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 3.5mm  200mm  1500mm
5000308,Checker plate,Aluminum,1.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 1.5mm  250mm  500mm
5000309,Perforated plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 5mm  150mm  1000mm
5000310,Diamond plate,Aluminum,4,300,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 4mm  300mm  750mm
5000311,Flat plate,Brass,2,100,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 2mm  100mm  750mm
5000312,Tread plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6090,RoHS compliant,Tread plate 2.5mm  250mm  750mm
5000313,Checker plate,Aluminum,3.5,200,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 3.5mm  200mm  750mm
5000314,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Decorative,-,Grade 334210,ASTM certified,Perforated plate 1.5mm  150mm  750mm
5000315,Diamond plate,Aluminum,5,250,1000,Powder-coated,Automotive,Diamond,Grade 339967,RoHS compliant,Diamond plate 5mm  250mm  1000mm
5000316,Flat plate,Brass,4,250,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 4mm  250mm  750mm
5000317,Tread plate,Steel,2,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 2mm  250mm  1500mm
5000318,Checker plate,Aluminum,2.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  500mm
5000319,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 3.5mm  250mm  1000mm
5000320,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 1.5mm  250mm  750mm
5000321,Flat plate,Brass,5,300,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 5mm  300mm  750mm
5000322,Tread plate,Steel,4,200,750,Powder-coated,Decorative,Raised,Grade 6091,ASTM certified,Tread plate 4mm  200mm  750mm
5000323,Checker plate,Aluminum,2,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 2mm  250mm  750mm
5000324,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Industrial,-,Grade 345724,ISO 9001 certified,Perforated plate 2.5mm  150mm  750mm
5000325,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Industrial,Diamond,Grade 351481,RoHS compliant,Diamond plate 3.5mm  300mm  1000mm
5000326,Flat plate,Brass,1.5,100,750,Polished,Automotive,-,-,ASTM certified,Flat plate 1.5mm  100mm  750mm
5000327,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000328,Checker plate,Aluminum,4,200,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 4mm  200mm  500mm
5000329,Perforated plate,Stainless steel,2,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  150mm  1000mm
5000330,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000331,Flat plate,Brass,3.5,250,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 3.5mm  250mm  750mm
5000332,Tread plate,Steel,1.5,250,750,Powder-coated,Industrial,Raised,Grade 6092,ISO 9001 certified,Tread plate 1.5mm  250mm  750mm
5000333,Checker plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 5mm  250mm  750mm
5000334,Perforated plate,Stainless steel,4,250,750,Powder-coated,Automotive,-,Grade 357238,ASTM certified,Perforated plate 4mm  250mm  750mm
5000335,Diamond plate,Aluminum,2,250,1000,Powder-coated,Industrial,Diamond,Grade 362995,ISO 9001 certified,Diamond plate 2mm  250mm  1000mm
5000336,Flat plate,Brass,2.5,300,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 2.5mm  300mm  750mm
5000337,Tread plate,Steel,3.5,200,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 3.5mm  200mm  1500mm
5000338,Checker plate,Aluminum,1.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  500mm
5000339,Perforated plate,Stainless steel,5,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 5mm  150mm  1000mm
5000340,Diamond plate,Aluminum,4,300,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 4mm  300mm  750mm
5000341,Flat plate,Brass,2,100,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 2mm  100mm  750mm
5000342,Tread plate,Steel,2.5,250,750,Powder-coated,Automotive,Raised,Grade 6093,ASTM certified,Tread plate 2.5mm  250mm  750mm
5000343,Checker plate,Aluminum,3.5,200,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 3.5mm  200mm  750mm
5000344,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Decorative,-,Grade 368752,RoHS compliant,Perforated plate 1.5mm  150mm  750mm
5000345,Diamond plate,Aluminum,5,250,1000,Powder-coated,Construction,Diamond,Grade 374509,ISO 9001 certified,Diamond plate 5mm  250mm  1000mm
5000346,Flat plate,Brass,4,250,750,Polished,Decorative,-,-,ASTM certified,Flat plate 4mm  250mm  750mm
5000347,Tread plate,Steel,2,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 2mm  250mm  1500mm
5000348,Checker plate,Aluminum,2.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 2.5mm  250mm  500mm
5000349,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000350,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000351,Flat plate,Brass,5,300,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 5mm  300mm  750mm
5000352,Tread plate,Steel,4,200,750,Powder-coated,Decorative,Raised,Grade 6094,RoHS compliant,Tread plate 4mm  200mm  750mm
5000353,Checker plate,Aluminum,2,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 2mm  250mm  750mm
5000354,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 380266,ASTM certified,Perforated plate 2.5mm  150mm  750mm
5000355,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Automotive,Diamond,Grade 386023,RoHS compliant,Diamond plate 3.5mm  300mm  1000mm
5000356,Flat plate,Brass,1.5,100,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 1.5mm  100mm  750mm
5000357,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 5mm  250mm  1500mm
5000358,Checker plate,Aluminum,4,200,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 4mm  200mm  500mm
5000359,Perforated plate,Stainless steel,2,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  150mm  1000mm
5000360,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 2.5mm  250mm  750mm
5000361,Flat plate,Brass,3.5,250,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 3.5mm  250mm  750mm
5000362,Tread plate,Steel,1.5,250,750,Powder-coated,Decorative,Raised,Grade 6095,ASTM certified,Tread plate 1.5mm  250mm  750mm
5000363,Checker plate,Aluminum,5,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 5mm  250mm  750mm
5000364,Perforated plate,Stainless steel,4,250,750,Powder-coated,Industrial,-,Grade 391780,ISO 9001 certified,Perforated plate 4mm  250mm  750mm
5000365,Diamond plate,Aluminum,2,250,1000,Powder-coated,Industrial,Diamond,Grade 397537,RoHS compliant,Diamond plate 2mm  250mm  1000mm
5000366,Flat plate,Brass,2.5,300,750,Polished,Automotive,-,-,ASTM certified,Flat plate 2.5mm  300mm  750mm
5000367,Tread plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 3.5mm  200mm  1500mm
5000368,Checker plate,Aluminum,1.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 1.5mm  250mm  500mm
5000369,Perforated plate,Stainless steel,5,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 5mm  150mm  1000mm
5000370,Diamond plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 4mm  300mm  750mm
5000371,Flat plate,Brass,2,100,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 2mm  100mm  750mm
5000372,Tread plate,Steel,2.5,250,750,Powder-coated,Industrial,Raised,Grade 6096,ISO 9001 certified,Tread plate 2.5mm  250mm  750mm
5000373,Checker plate,Aluminum,3.5,200,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 3.5mm  200mm  750mm
5000374,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Automotive,-,Grade 403294,ASTM certified,Perforated plate 1.5mm  150mm  750mm
5000375,Diamond plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 409051,ISO 9001 certified,Diamond plate 5mm  250mm  1000mm
5000376,Flat plate,Brass,4,250,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 4mm  250mm  750mm
5000377,Tread plate,Steel,2,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 2mm  250mm  1500mm
5000378,Checker plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  500mm
5000379,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000380,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 1.5mm  250mm  750mm
5000381,Flat plate,Brass,5,300,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 5mm  300mm  750mm
5000382,Tread plate,Steel,4,200,750,Powder-coated,Automotive,Raised,Grade 6097,ASTM certified,Tread plate 4mm  200mm  750mm
5000383,Checker plate,Aluminum,2,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 2mm  250mm  750mm
5000384,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 414808,RoHS compliant,Perforated plate 2.5mm  150mm  750mm
5000385,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Construction,Diamond,Grade 420565,ISO 9001 certified,Diamond plate 3.5mm  300mm  1000mm
5000386,Flat plate,Brass,1.5,100,750,Polished,Decorative,-,-,ASTM certified,Flat plate 1.5mm  100mm  750mm
5000387,Tread plate,Steel,5,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 5mm  250mm  1500mm
5000388,Checker plate,Aluminum,4,200,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 4mm  200mm  500mm
5000389,Perforated plate,Stainless steel,2,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 2mm  150mm  1000mm
5000390,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000391,Flat plate,Brass,3.5,250,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 3.5mm  250mm  750mm
